Lookup ID,Age,Gender,Marital status,City,State,Country,Email,Class of,College,Degree,Enrolled Via,Enrollment Date,Total Donation Amount,Cumulative Lifetime Donation Years,Consecutive Years of Giving,If Donated
12034936,58,Male,Married,Danville,Illinois,United States,Yes,2001,"1KL-Agr, Consumer, & Env Sciences",BS: Bachelor of Science,Main site,2022-03-20 00:00:00,628,7,5,1
11413797,56,Female,Married,Chicago,Illinois,United States,Yes,1989,1KM-Gies College of Business,BS: Bachelor of Science,No record,1900-01-01 00:00:00,0,0,0,0
11745259,55,Female,Married,Oceanside,California,United States,Yes,1989,1KM-Gies College of Business,BS: Bachelor of Science,Main site,2022-03-03 00:00:00,50,1,1,1
11090508,35,Male,Married,Naperville,Illinois,United States,Yes,2019,1KP-Grainger Engineering,MENGR: Master of Engineering,Main site,2022-08-24 00:00:00,0,0,0,0
11463432,86,Male,Married,Waukegan,Illinois,United States,Yes,1960,1KR-Fine & Applied Arts,BS: Bachelor of Science,No record,1900-01-01 00:00:00,0,0,0,0
12023350,47,Male,Married,Downers Grove,Illinois,United States,Yes,1997,1KM-Gies College of Business,BS: Bachelor of Science,Main site,2022-04-28 00:00:00,0,0,0,0
11948891,42,Male,Married,Atlanta,Georgia,United States,Yes,2002,1KV-Liberal Arts & Sciences,BSLAS: Bachelor of Science Liberal Arts & Sciences,Main site,2022-03-13 00:00:00,393,7,1,1
11628236,48,Male,Married,Bloomington,Illinois,United States,Yes,1996,1KV-Liberal Arts & Sciences,BALAS: Bachelor of Arts in Liberal Arts & Sciences,Main site,2022-02-07 00:00:00,1400,5,5,1
11749673,50,Female,Married,Effingham,Illinois,United States,Yes,,,,No record,1900-01-01 00:00:00,0,0,0,0
12042015,55,Female,Married,East Lansing,Michigan,United States,Yes,,,BA: Bachelor of Arts,Main site,2022-08-24 00:00:00,0,0,0,0
10548917,81,Female,Widow/er,Hobart,Indiana,United States,Yes,1965,1KY-Applied Health Sciences,BS: Bachelor of Science,No record,1900-01-01 00:00:00,0,0,0,0
11714176,55,Male,Married,Wayne,Illinois,United States,Yes,1990,1KV-Liberal Arts & Sciences,BS: Bachelor of Science,No record,1900-01-01 00:00:00,0,0,0,0
11436703,52,Female,Divorced,Raleigh,North Carolina,United States,Yes,1993,"1KL-Agr, Consumer, & Env Sciences",BS: Bachelor of Science,Main site,2022-07-01 00:00:00,0,0,0,0
13801232,29,Female,Unknown,Richton Park,Illinois,United States,Yes,2020,1LP-School of Information Sciences,MS: Master of Science,No record,1900-01-01 00:00:00,0,0,0,0
11407287,65,Female,Married,Champaign,Illinois,United States,Yes,1981,1KV-Liberal Arts & Sciences,BALAS: Bachelor of Arts in Liberal Arts & Sciences,No record,1900-01-01 00:00:00,0,0,0,0
11314786,58,Female,Single,La Salle,Illinois,United States,Yes,1991,2FT-Liberal Arts & Sciences,BA: Bachelor of Arts,Main site,2022-02-26 00:00:00,425,7,1,1
11716318,50,Female,Married,Canal Fulton,Ohio,United States,Yes,,,,Bowl Game Promo '22,2022-12-17 00:00:00,0,0,0,0
14339068,0,Male,Unknown,Inverness,Illinois,United States,Yes,,,,Main site,2022-12-27 00:00:00,0,0,0,0
11635631,56,Female,Married,Highland Park,Illinois,United States,Yes,1988,1KM-Gies College of Business,BS: Bachelor of Science,Main site,2022-11-07 00:00:00,0,0,0,0
12028209,49,Female,Married,Washington,District of Columbia,United States,Yes,1994,1LE-Institute of Aviation,AVIPC: Aviation Certificate: Professional Pilot,Holiday Promo '22,2022-12-11 00:00:00,0,0,0,0
12067586,51,Female,Married,Naperville,Illinois,United States,Yes,1993,1KV-Liberal Arts & Sciences,BALAS: Bachelor of Arts in Liberal Arts & Sciences,No record,1900-01-01 00:00:00,0,0,0,0
11414099,74,Male,Married,Lawton,Michigan,United States,Yes,1973,1KR-Fine & Applied Arts,BME: Bachelor of Music Education,Main site,2022-03-02 00:00:00,12725,37,37,1
11633555,66,Male,Married,Springfield,Virginia,United States,Yes,1987,1KP-Grainger Engineering,MS: Master of Science,Main site,2022-02-19 00:00:00,50,1,1,1
11358167,63,Male,Married,Urbana,Illinois,United States,Yes,1984,1KP-Grainger Engineering,MS: Master of Science,No record,1900-01-01 00:00:00,0,0,0,0
12075825,80,Male,Single,Bellevue,Washington,United States,Yes,,,,No record,1900-01-01 00:00:00,0,0,0,0
11738131,68,Male,Married,Plano,Texas,United States,Yes,1978,1KP-Grainger Engineering,BS: Bachelor of Science,Holiday Promo '22,2022-12-01 00:00:00,0,0,0,0
12023908,46,Male,Married,Pingree Grove,Illinois,United States,Yes,1999,1KM-Gies College of Business,BS: Bachelor of Science,Main site,2022-08-24 00:00:00,0,0,0,0
11404944,63,Female,Married,Pasadena,California,United States,Yes,1981,1KM-Gies College of Business,BS: Bachelor of Science,No record,1900-01-01 00:00:00,0,0,0,0
11474220,72,Female,Married,Glen Carbon,Illinois,United States,Yes,,,PHD: Doctor of Philosophy,No record,1900-01-01 00:00:00,0,0,0,0
13653688,34,Male,Unknown,Staten Island,New York,United States,Yes,2019,1KM-Gies College of Business,MS: Master of Science,Main site,2022-05-11 00:00:00,0,0,0,0
